,Headlines,Date
176,"Expect Rs 6K-cr loans to be restructured: PNB MD & CEO Mallikarjuna Rao. With borrowers unable to service loans, shadow banks are in for more pain. Taxation of startup exits needs a revisit: 3one4 Capital's Pranav Pai. Hopeful to come out of PCA framework very soon, says UCO Bank MD. Reserve Bank imposes penalty on Bank of India, PNB totalling Rs 6 crore. ",2021-06-07
177,"Fund-rich banks unlikely to use RBI's special window of Rs 15,000 crore. Punjab National Bank eyes three-fold rise in profit in fiscal 2022. BoB board approves setting off losses against share premium account. ",2021-06-05
178,Bank of Baroda may repatriate some capital from overseas business. ,2021-06-04
179,"Covid-19 pandemic: Banks' credit costs may rise to 2.4%, says S&P. India's IDBI Bank secures $239 mn debt judgment in UK High Court. ",2021-06-03
180,"Mallya case: Banks' claim of Rs 6,200-cr loss not imaginary, says court. Bank officers' union proposes guards for unmanned ATMs to check frauds. ",2021-06-02
181,Union Bank of India appoints A K Vinod as chief compliance officer. ,2021-06-01
182,Bank of Baroda shares close nearly 4% lower after fourth quarter net loss. ,2021-05-31
183,"RBI's new norms to help enhance audit quality, transparency: Experts. ",2021-05-30
184,"Banks in better position to manage stress in second Covid-19 wave: RBI. Canara Bank gets board approval to raise up to Rs 9,000 cr in FY22. City Union Bank reports fourth quarter net profit at Rs 111.18 crore. Indian Bank posts net profit of Rs 1,709 crore for March quarter. Karur Vysya Bank fourth quarter net profit rises 23% to Rs 104 crore. Bank credit growth decelerates to 5.6% in March from 6.4% last year. City Union Bank reports net profit of Rs 111 cr in March quarter. UCO Bank aims 7-10% growth in FY22, allots shares to government. ",2021-05-28
185,"Banks need to monitor asset quality, prepare for higher provisioning: RBI. UCO Bank Mar qtr net profit jumps about five-folds to Rs 80 crore. Suryoday Small Finance Bank reports 89% dip in profit to Rs 12 cr in FY21. UCO Bank gets board nod for Rs 3,000-cr equity capital raise in FY22. A warming planet is about to revolutionise how banks define risk. ",2021-05-27
186,Govt to seek approval from Cabinet to set up a land bank company. Karnataka Bank Q4 net profit rises 15% at Rs 31 cr; NII declines 13%. ,2021-05-26
187,"RBI's new restructuring package for small borrowers: Will it work?. Canara Bank board meeting on Friday to consider capital raise for this fiscal. RBI issues guidelines for merging district central co-op banks with state ones. Punjab & Sind Bank shares close over 4% higher after Q4 profit. Bank credit grows by 6.02%; deposits up by 9.87%, RBI data shows. ",2021-05-24
188,"SBI's March quarter showing impresses Street; stock jumps over 5%. South Indian Bank reports Rs 7 crore net profit in March quarter. State Bank of India Q4 profit up 80% at Rs 6,451 crore, beats estimates. ",2021-05-22
189,Banks may transfer 80 large NPA accounts for resolution to National ARC. ,2021-05-20
190,RBI asks PSBs to implement recently announced measures 'in right earnest'. ,2021-05-19
191,"God's own patience: Meet Padmakumar Madhavan Nair, MD & CEO of NARCL. Mumbai Angels back cloud-based neobank Nemo with undisclosed funding amount. ",2021-05-14
192,State Bank of India's Padmakumar M Nair named as CEO of proposed bad bank. Govt likely to drop plan to decriminalise cheque bounce offences. ,2021-05-12
193,"With banks blindsided by Covid-19, incidence of fraud may well have gone up. Jose Kattoor named RBI Executive Director with effect from May 4. ",2021-05-10
194,"MFIs, banks need to revisit micro-loan pricing: CreditAccess Grameen MD. Why Citibank is selling its consumer business in India. ",2021-05-09
195,DCB Bank net profit rises 13% to Rs 78 crore in January-March quarter. ,2021-05-08
196,"Bank credit shrinks by Rs 89,087 cr in April on second wave impact. ",2021-05-07
197,Markets may be ignoring banks' NPA risk from second coronavirus wave. RBI's rescue act. ,2021-05-05
198,"Mphasis to set up nearshore centre near London, expects to invest GBP 25 mn. Covid-19 second wave: Clamour for packages for banks and NBFCs grows. RBL Bank Q4 net dives 34% as provisions on credit cards, MFI loans rise. RBL Bank net declines 34% in Q4 on higher provisions, drop in NII. ",2021-05-04
199,"Will try to keep interest rate benign for as long as possible: SBI chief. Reserve Bank to strengthen risk-based supervision of banks, NBFCs. ",2021-05-02
200,State Bank of India reduces home loan interest rates to 6.7%. ,2021-05-01
201,"YES Bank posts net loss of Rs 3,788 crore in Q4 as provisions rise. ",2021-04-30
202,Bank of Maharashtra net profit jumps to Rs 165 cr in March quarter. ,2021-04-29
203,Restructuring Deutsche Bank shows strongest quarter in seven years. Most bank CEOs have to hang up boots before 70 under latest RBI guidelines. ,2021-04-28
204,"RBI fixes private bank MD, CEO tenures at 15 years; compliance by Oct 1. HSBC Q1 profit rises 79% as Covid vaccine rollout sparks cautious optimism. State Bank of India board to consider raising $2 billion through bonds. UBS, Nomura push global banks' Archegos losses beyond $10 billion. Tamilnad Mercantile Bank plans IPO of up to Rs 1,200 crore this fiscal. Markets maintain momentum for second straight day; bank stocks rally. Axis Bank beats Street estimates, posts net profit of Rs 2,677 crore in Q4. ",2021-04-27
205,How falling prices may impact the quality of gold loans for banks. In the digital cross-hair: CTOs will have to be all-rounder for banks. SBI Card fourth quarter net doubles to Rs 175 cr; FY'21 profit drops 21 pc. Banking stocks fuel indices' steep jump amid retreat in US bond yields. ,2021-04-26
206,Payments banks' search for right business model. ,2021-04-25
207,JPMorgan admits it misjudged by backing breakaway European Super League. ,2021-04-23
208,"After Citigroup, South Africa's FirstRand Bank to exit India after 12 years. Climate activists shatter 19 windows at HSBC HQ in London's Canary Wharf. ",2021-04-22
